title,title_detail,published,published_parsed,summary,summary_detail,id,guidislink,link,links,media_content,content,media_credit,credit
"Avec la mort du « Kaiser » Franz Beckenbauer, un monument du football disparaît","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Avec la mort du «\xa0Kaiser\xa0» Franz Beckenbauer, un monument du football disparaît'}","Mon, 08 Jan 2024 19:30:36 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=8, tm_hour=18, tm_min=30, tm_sec=36, tm_wday=0, tm_yday=8, tm_isdst=0)","Le défenseur central, quadruple champion d’Allemagne avec le Bayern Munich, double Ballon d’or et vainqueur de la Coupe du monde comme joueur puis comme sélectionneur, est mort le 8 janvier.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le défenseur central, quadruple champion d’Allemagne avec le Bayern Munich, double Ballon d’or et vainqueur de la Coupe du monde comme joueur puis comme sélectionneur, est mort le 8\xa0janvier.'}",https://www.lemonde.fr/disparitions/article/2024/01/08/avec-la-mort-du-kaiser-franz-beckenbauer-un-monument-du-football-disparait_6209715_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/08/avec-la-mort-du-kaiser-franz-beckenbauer-un-monument-du-football-disparait_6209715_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/08/avec-la-mort-du-kaiser-franz-beckenbauer-un-monument-du-football-disparait_6209715_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/08/450/0/5400/2700/644/322/60/0/09834c8_1704735698416-pressesports-139492-0001.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Franz Beckenbauer, au stade Azteque de Mexico, lors de la demi-finale de la Coupe du monde entre la RFA et l’Italie, le 17\xa0juin 1970.'}]","[{'scheme': 'urn:ebu', 'content': ""L'EQUIPE / PRESSE SPORTS""}]",L'EQUIPE / PRESSE SPORTS
"Franz Beckenbauer, légende allemande du football, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Franz Beckenbauer, légende allemande du football, est mort'}","Mon, 08 Jan 2024 18:36:52 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=8, tm_hour=17, tm_min=36, tm_sec=52, tm_wday=0, tm_yday=8, tm_isdst=0)","Ancien capitaine de la sélection ouest-allemande dans les années 1970, sélectionneur de la Mannschaft de 1984 à 1990 et ancien dirigeant du Bayern Munich dans les années 1990, le « Kaiser » est mort dimanche à l’âge de 78 ans.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Ancien capitaine de la sélection ouest-allemande dans les années 1970, sélectionneur de la Mannschaft de 1984 à 1990 et ancien dirigeant du Bayern Munich dans les années 1990, le «\xa0Kaiser\xa0» est mort dimanche à l’âge de 78\xa0ans.'}",https://www.lemonde.fr/sport/article/2024/01/08/franz-beckenbauer-legende-allemande-du-football-est-mort_6209697_3242.html,True,https://www.lemonde.fr/sport/article/2024/01/08/franz-beckenbauer-legende-allemande-du-football-est-mort_6209697_3242.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/sport/article/2024/01/08/franz-beckenbauer-legende-allemande-du-football-est-mort_6209697_3242.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/08/54/0/3176/1588/644/322/60/0/8ff0f97_1704731833937-bal-2469017.JPG'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Franz Beckenbauer lors de la coupe du monde de 1974\xa0en Allemagne de l’ouest.'}]","[{'scheme': 'urn:ebu', 'content': 'Bridgeman Images'}]",Bridgeman Images
"Mario Zagallo, légende du football brésilien, premier champion du monde comme joueur et entraîneur, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Mario Zagallo, légende du football brésilien, premier champion du monde comme joueur et entraîneur, est mort'}","Sat, 06 Jan 2024 05:59:41 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=6, tm_hour=4, tm_min=59, tm_sec=41, tm_wday=5, tm_yday=6, tm_isdst=0)",Le « professeur » a joué un rôle-clé dans quatre des cinq titres mondiaux remportés par la Seleçao. Il est mort à l’âge de 92 ans.,"{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le «\xa0professeur\xa0» a joué un rôle-clé dans quatre des cinq titres mondiaux remportés par la Seleçao. Il est mort à l’âge de 92\xa0ans.'}",https://www.lemonde.fr/sport/article/2024/01/06/mario-zagallo-legende-du-football-bresilien-premier-champion-du-monde-comme-joueur-et-entraineur-est-mort_6209361_3242.html,True,https://www.lemonde.fr/sport/article/2024/01/06/mario-zagallo-legende-du-football-bresilien-premier-champion-du-monde-comme-joueur-et-entraineur-est-mort_6209361_3242.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/sport/article/2024/01/06/mario-zagallo-legende-du-football-bresilien-premier-champion-du-monde-comme-joueur-et-entraineur-est-mort_6209361_3242.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/06/91/0/2048/1024/644/322/60/0/e34fd29_5255618-01-06.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le sélectionneur brésilien Mario Zagallo, lors de la finale de Coupe du monde contre la France, à Saint-Denis, le 12 juillet 1998.'}]","[{'scheme': 'urn:ebu', 'content': 'GABRIEL BOUYS / AFP'}]",GABRIEL BOUYS / AFP
"David Soul, l’acteur qui incarnait Hutch dans la série « Starsky et Hutch », est mort à l’âge de 80 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'David Soul, l’acteur qui incarnait Hutch dans la série «\xa0Starsky et Hutch\xa0», est mort à l’âge de 80\xa0ans'}","Fri, 05 Jan 2024 15:58:55 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=5, tm_hour=14, tm_min=58, tm_sec=55, tm_wday=4, tm_yday=5, tm_isdst=0)","La série culte, diffusée à la télévision à la fin des années 1970, mettait en scène deux policiers dans la ville fictive de Bay City.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La série culte, diffusée à la télévision à la fin des années 1970, mettait en scène deux policiers dans la ville fictive de Bay City.'}",https://www.lemonde.fr/disparitions/article/2024/01/05/david-soul-l-acteur-qui-incarnait-hutch-dans-la-serie-starsky-et-hutch-est-mort-a-l-age-de-80-ans_6209238_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/05/david-soul-l-acteur-qui-incarnait-hutch-dans-la-serie-starsky-et-hutch-est-mort-a-l-age-de-80-ans_6209238_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/05/david-soul-l-acteur-qui-incarnait-hutch-dans-la-serie-starsky-et-hutch-est-mort-a-l-age-de-80-ans_6209238_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/05/695/0/3609/1804/644/322/60/0/28f7c5b_1704466383871-gettyimages-1064242834.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'David Soul, en novembre 1976.'}]","[{'scheme': 'urn:ebu', 'content': 'Radio Times / Getty Images'}]",Radio Times / Getty Images
"Jean-Marie Rausch, maire de Metz pendant trente-sept ans et ministre de François Mitterrand, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Marie Rausch, maire de Metz pendant trente-sept ans et ministre de François Mitterrand, est mort'}","Fri, 05 Jan 2024 15:16:19 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=5, tm_hour=14, tm_min=16, tm_sec=19, tm_wday=4, tm_yday=5, tm_isdst=0)","« Nous lui devons ce que Metz est aujourd’hui : musée à ciel ouvert, ville-jardin, ville européenne, métropole qui a fait renaître son enseignement supérieur », a salué l’actuel maire de Metz, François Grosdidier.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': '«\xa0Nous lui devons ce que Metz est aujourd’hui\xa0: musée à ciel ouvert, ville-jardin, ville européenne, métropole qui a fait renaître son enseignement supérieur\xa0», a salué l’actuel maire de Metz, François Grosdidier.'}",https://www.lemonde.fr/disparitions/article/2024/01/05/jean-marie-rausch-maire-de-metz-pendant-trente-sept-ans-et-ministre-de-francois-mitterrand-est-mort_6209230_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/05/jean-marie-rausch-maire-de-metz-pendant-trente-sept-ans-et-ministre-de-francois-mitterrand-est-mort_6209230_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/05/jean-marie-rausch-maire-de-metz-pendant-trente-sept-ans-et-ministre-de-francois-mitterrand-est-mort_6209230_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/05/8/0/3200/1600/644/322/60/0/4b60b95_1704462231506-000-arp1953119.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Jean-Marie Rausch, à la mairie de Metz, le 22\xa0novembre\xa02007.'}]","[{'scheme': 'urn:ebu', 'content': 'JEAN-CHRISTOPHE VERHAEGEN / AFP'}]",JEAN-CHRISTOPHE VERHAEGEN / AFP
"Robert Grossmann, figure politique strasbourgeoise, est mort à 83 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Robert Grossmann, figure politique strasbourgeoise, est mort à 83\xa0ans'}","Fri, 05 Jan 2024 11:07:45 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=5, tm_hour=10, tm_min=7, tm_sec=45, tm_wday=4, tm_yday=5, tm_isdst=0)","Né en 1940, Robert Grossmann a fondé, en 1965, l’Union des jeunes pour le progrès, un mouvement gaulliste. Engagé dans la vie politique strasbourgeoise, il siège dès la même année au conseil municipal de Strasbourg, qu’il n’a quitté qu’en 2014.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Né en\xa01940, Robert Grossmann a fondé, en\xa01965, l’Union des jeunes pour le progrès, un mouvement gaulliste. Engagé dans la vie politique strasbourgeoise, il siège dès la même année au conseil municipal de Strasbourg, qu’il n’a quitté qu’en\xa02014.'}",https://www.lemonde.fr/societe/article/2024/01/05/robert-grossmann-figure-politique-strasbourgeoise-est-mort-a-83-ans_6209207_3224.html,True,https://www.lemonde.fr/societe/article/2024/01/05/robert-grossmann-figure-politique-strasbourgeoise-est-mort-a-83-ans_6209207_3224.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/societe/article/2024/01/05/robert-grossmann-figure-politique-strasbourgeoise-est-mort-a-83-ans_6209207_3224.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/05/527/0/2565/1282/644/322/60/0/dbcd148_1704447959582-000-par105605.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le président de la communauté urbaine de Strasbourg, Robert Grossmann, le 19 octobre\xa02004.'}]","[{'scheme': 'urn:ebu', 'content': 'FREDERICK FLORIN / AFP'}]",FREDERICK FLORIN / AFP
"Glynis Johns, connue pour son rôle dans « Mary Poppins », est morte à l’âge de 100 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Glynis Johns, connue pour son rôle dans «\xa0Mary Poppins\xa0», est morte à l’âge de 100\xa0ans'}","Thu, 04 Jan 2024 23:50:42 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=4, tm_hour=22, tm_min=50, tm_sec=42, tm_wday=3, tm_yday=4, tm_isdst=0)","Le plus grand succès de l’actrice sud-africaine et britannique a été son rôle de Desiree Armfeldt dans « A Little Night Music », pour lequel elle a remporté un Tony Award en 1973.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le plus grand succès de l’actrice sud-africaine et britannique a été son rôle de Desiree Armfeldt dans «\xa0A Little Night Music\xa0», pour lequel elle a remporté un Tony Award en\xa01973.'}",https://www.lemonde.fr/disparitions/article/2024/01/04/glynis-johns-connue-pour-son-role-dans-mary-poppins-est-morte-a-l-age-de-100-ans_6209087_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/04/glynis-johns-connue-pour-son-role-dans-mary-poppins-est-morte-a-l-age-de-100-ans_6209087_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/04/glynis-johns-connue-pour-son-role-dans-mary-poppins-est-morte-a-l-age-de-100-ans_6209087_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/04/286/0/3031/1515/644/322/60/0/111cb6a_c992169e0b834c119ff9ac2fd28006d6-0-26300678bff04eb3bbf6dd7ef59c45dc.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’actrice Glynis Johns, le 11\xa0septembre\xa01982.'}]","[{'scheme': 'urn:ebu', 'content': 'CARLOS RENÉ PEREZ / AP'}]",CARLOS RENÉ PEREZ / AP
"La mort de Riad Turk, opposant au « régime héréditaire » syrien","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'La mort de Riad Turk, opposant au «\xa0régime héréditaire\xa0» syrien'}","Wed, 03 Jan 2024 16:58:49 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=3, tm_hour=15, tm_min=58, tm_sec=49, tm_wday=2, tm_yday=3, tm_isdst=0)","L’opposant historique au régime de Damas, surnommé « le Mandela syrien », est mort en France, le 1ᵉʳ janvier, à l’âge de 93 ans. Né à Homs, l’avocat ne s’est jamais départi de son esprit indépendant et de son attachement au nationalisme arabe.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’opposant historique au régime de Damas, surnommé «\xa0le Mandela syrien\xa0», est mort en France, le 1ᵉʳ\xa0janvier, à l’âge de 93\xa0ans. Né à Homs, l’avocat ne s’est jamais départi de son esprit indépendant et de son attachement au nationalisme arabe.'}",https://www.lemonde.fr/disparitions/article/2024/01/03/la-mort-de-riad-turk-opposant-au-regime-hereditaire-syrien_6208894_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/03/la-mort-de-riad-turk-opposant-au-regime-hereditaire-syrien_6208894_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/03/la-mort-de-riad-turk-opposant-au-regime-hereditaire-syrien_6208894_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/03/581/0/1562/781/644/322/60/0/75854f0_1704293994679-2007-05-16t120000z-1341330884-gm1dvgswyfaa-rtrmadp-3-syria-dissident.JPG'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le dissident syrien Riad Turk, dans son appartement de la ville de Tel, au nord de Damas, le 1ᵉʳ\xa0mai\xa02007.'}]","[{'scheme': 'urn:ebu', 'content': 'Khaled Al Hariri / REUTERS'}]",Khaled Al Hariri / REUTERS
"Le résistant Michel Cherrier, qui participa au débarquement de Provence, est mort à 102 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le résistant Michel Cherrier, qui participa au débarquement de Provence, est mort à 102\xa0ans'}","Wed, 03 Jan 2024 12:22:29 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=3, tm_hour=11, tm_min=22, tm_sec=29, tm_wday=2, tm_yday=3, tm_isdst=0)","Chevalier de la Légion d’honneur, il est titulaire d’une dizaine de décorations officielles et « fut durant de longues décennies un militant actif des associations du monde combattant ».","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Chevalier de la Légion d’honneur, il est titulaire d’une dizaine de décorations officielles et «\xa0fut durant de longues décennies un militant actif des associations du monde combattant\xa0».'}",https://www.lemonde.fr/societe/article/2024/01/03/le-resistant-michel-cherrier-qui-participa-au-debarquement-de-provence-est-mort-a-102-ans_6208863_3224.html,True,https://www.lemonde.fr/societe/article/2024/01/03/le-resistant-michel-cherrier-qui-participa-au-debarquement-de-provence-est-mort-a-102-ans_6208863_3224.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/societe/article/2024/01/03/le-resistant-michel-cherrier-qui-participa-au-debarquement-de-provence-est-mort-a-102-ans_6208863_3224.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/03/179/0/1335/667/644/322/60/0/fd15e1e_1704274600842-153511196-3597247860324123-6312953251497576992-n.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Michel Cherrier est mort à l’âge de 102 ans.'}]","[{'scheme': 'urn:ebu', 'content': 'Courtesy Préfecture du Calvados'}]",Courtesy Préfecture du Calvados
"Riad Turk, célèbre opposant syrien exilé en France, est mort à l’âge de 93 ans","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Riad Turk, célèbre opposant syrien exilé en France, est mort à l’âge de 93\xa0ans'}","Mon, 01 Jan 2024 22:13:05 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=1, tm_hour=21, tm_min=13, tm_sec=5, tm_wday=0, tm_yday=1, tm_isdst=0)","Surnommé « le Mandela syrien », il a passé plus de dix-sept ans dans les geôles du président Hafez Al-Assad, avant d’être de nouveau emprisonné, en 2001, par son fils, le président actuel, Bachar Al-Assad.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Surnommé «\xa0le Mandela syrien\xa0», il a passé plus de dix-sept ans dans les geôles du président Hafez Al-Assad, avant d’être de nouveau emprisonné, en\xa02001, par son fils, le président actuel, Bachar Al-Assad.'}",https://www.lemonde.fr/disparitions/article/2024/01/01/riad-turk-celebre-opposant-syrien-exile-en-france-est-mort-a-l-age-de-93-ans_6208667_3382.html,True,https://www.lemonde.fr/disparitions/article/2024/01/01/riad-turk-celebre-opposant-syrien-exile-en-france-est-mort-a-l-age-de-93-ans_6208667_3382.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/disparitions/article/2024/01/01/riad-turk-celebre-opposant-syrien-exile-en-france-est-mort-a-l-age-de-93-ans_6208667_3382.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/01/224/0/2396/1198/644/322/60/0/02bf472_1704142973910-000-par2003102811830.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’opposant syrien Riad Turk dans les locaux d’Amnesty international à Paris, avant de participer à un débat, le 28\xa0octobre\xa02003.'}]","[{'scheme': 'urn:ebu', 'content': 'JOEL ROBINE / AFP'}]",JOEL ROBINE / AFP
"Le photographe sud-africain Peter Magubane, chroniqueur de l’apartheid, est mort","{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Le photographe sud-africain Peter Magubane, chroniqueur de l’apartheid, est mort'}","Mon, 01 Jan 2024 19:34:46 +0100","time.struct_time(tm_year=2024, tm_mon=1, tm_mday=1, tm_hour=18, tm_min=34, tm_sec=46, tm_wday=0, tm_yday=1, tm_isdst=0)","L’une de ses photos les plus célèbres, prise en 1956, montre une petite fille blanche sur un banc de la banlieue de Johannesburg portant l’inscription « Réservé aux Européens », et sa nounou noire assise de l’autre côté.","{'type': 'text/html', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'L’une de ses photos les plus célèbres, prise en\xa01956, montre une petite fille blanche sur un banc de la banlieue de Johannesburg portant l’inscription «\xa0Réservé aux Européens\xa0», et sa nounou noire assise de l’autre côté.'}",https://www.lemonde.fr/afrique/article/2024/01/01/le-photographe-sud-africain-peter-magubane-chroniqueur-de-l-apartheid-est-mort_6208664_3212.html,True,https://www.lemonde.fr/afrique/article/2024/01/01/le-photographe-sud-africain-peter-magubane-chroniqueur-de-l-apartheid-est-mort_6208664_3212.html,"[{'rel': 'alternate', 'type': 'text/html', 'href': 'https://www.lemonde.fr/afrique/article/2024/01/01/le-photographe-sud-africain-peter-magubane-chroniqueur-de-l-apartheid-est-mort_6208664_3212.html'}]","[{'width': '644', 'height': '322', 'url': 'https://img.lemde.fr/2024/01/02/575/0/3000/1500/644/322/60/0/7845107_1704184671928-063-gyi0060412041.jpg'}]","[{'type': 'text/plain', 'language': None, 'base': 'https://www.lemonde.fr/disparitions/rss_full.xml', 'value': 'Peter Magubane à New York en 2010.'}]","[{'scheme': 'urn:ebu', 'content': 'STEPHEN LOVEKIN / Getty Images via AFP'}]",STEPHEN LOVEKIN / Getty Images via AFP
